nct_id,brief_title,conditions,cancer_type_label,multi_subtype,categories_matched,hand_check_category,agree
NCT04997993,Leflunomide in Patients With PTEN-Altered Advanced Solid Malignancies and HER2 Negative Breast Cancer,PTEN-Altered Advanced Solid Tumors and HER2 Negative Breast Cancer,Breast,,breast,,
NCT05260957,"CAR-T Cell Therapy, Mosunetuzumab and Polatuzumab for Treatment of Refractory/Relapsed Aggressive Non-Hodgkin's Lymphoma (NHL).",Refractory Non-Hodgkin Lymphoma;Relapsed Non Hodgkin Lymphoma;Aggressive Non-Hodgkin Lymphoma,Lymphoma,,lymphoma,,
NCT04577014,Retifanlimab (Anti-PD-1 Antibody) With Gemcitabine and Docetaxel in Patients With Advanced Soft Tissue Sarcoma,"Soft Tissue Sarcoma;Sarcoma,Soft Tissue;Sarcoma;Soft Tissue Sarcoma Adult",Sarcoma,,sarcoma,,
NCT07104032,IGNITE: Study of Tirabrutinib vs Rituximab/Temozolomide for Relapsed/Refractory Primary Central Nervous System Lymphoma (PCNSL),Relapsed/Refractory Primary Central Nervous System Lymphoma,Lymphoma,,lymphoma,,
NCT04762641,"This is a Study to Evaluate the Safety and Tolerability of ABL503, and to Determine the Maximum Tolerated Dose (MTD) and Recommended Phase 2 Dose (RP2D) of ABL503 in Subjects with Any Progressive Locally Advanced or Metastatic Solid Tumors",Advanced Solid Tumor,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT05223803,TERPS Trial for de Novo Oligometastic Prostate Cancer,Prostate Cancer;Oligometastatic Disease,Prostate,,prostate,,
NCT06016179,Tocilizumab Delivered Via Pleural and Peritoneal Catheters in Patients With Advanced Metastatic Cancer,Malignant Pleural Effusion;Malignant Ascites,Lung & thoracic,,lung,,
NCT07130903,Amplitude-Modulated Radiofrequency Electromagnetic Fields (AM RF EMF) in Combination With Fruquintinib in Refractory Metastatic Colorectal Cancer,Metastatic Colorectal Adenocarcinoma,Colorectal,,colorectal,,
NCT03322995,Pancreatic Cancer Adaptive Neoadjuvant Chemotherapy Trial,Pancreatic Cancer,Pancreatic,,pancreatic,,
NCT06965114,"Testing the Combination of Anti-cancer Drugs, Tovorafenib Plus Rituximab, in Patients With Hairy Cell Leukemia",Hairy Cell Leukemia;Recurrent Hairy Cell Leukemia;Refractory Hairy Cell Leukemia,Leukemia,,leukemia,,
NCT04282044,Study of CRX100 as Monotherapy and in Combination With Pembrolizumab in Patients With Advanced Solid Malignancies,"Solid Tumor, Adult;Triple Negative Breast Cancer;Colorectal Cancer;Hepatocellular Carcinoma;Osteosarcoma;Epithelial Ovarian Cancer;Gastric Cancer;Non-small Cell Lung Cancer;Malignant Melanoma",Multiple cancer types / basket or umbrella,multiple named cancers,breast;colorectal;gastric_esophageal;gynecologic;liver_biliary;lung;melanoma_skin;sarcoma,,
NCT04892303,Combination Radiotherapy and Radiopharmaceutical Therapy Treatment Planning for Thyroid Cancer,Recurrent Thyroid Cancer,Neuroendocrine & endocrine,,neuroendocrine_endocrine,,
NCT05918640,Lurbinectedin in FET-Fused Tumors,Ewing Sarcoma;Desmoplastic Small Round Cell Tumor;Pediatric Cancer;Undifferentiated Sarcoma,Sarcoma,,sarcoma,,
NCT05222620,"SRS Compared With FSRS for Treatment of Intact Metastatic Brain Disease, FRACTIONATE Trial",Metastatic Malignant Neoplasm in the Brain;Metastatic Malignant Solid Neoplasm,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT07405190,Ivonescimab Alone And With Carboplatin/Pemetrexed For NSCLC,Lung Cancer (NSCLC);Lung Cancer Non-Small Cell Cancer (NSCLC);Lung Cancer (Non-Small Cell);Lung Cancer - Non Small Cell;Lung Cancer Non Small Cell;Genomic Alterations,Lung & thoracic,,lung,,
NCT04888975,"A Non-randomized, Open-Label Study to Evaluate the Safety and Effectiveness of the Dayspring Technology for Patients With Breast Cancer Related Lymphedema (BCRL) After Lymphatic Surgery","Lymphedema;Lymphedema, Breast Cancer;Lymphedema Arm",Breast,,breast,,
NCT07392242,"A Study of the Combination of Ivosidenib, Azacitidine, and Venetoclax Followed by Ivosidenib Alone in People With Acute Myeloid Leukemia",Acute Myeloid Leukemia,Leukemia,,leukemia,,
NCT07213830,"A Study to Assess the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, Immunogenicity and Anti-tumour Activity of IPN01203 in Adults With Locally Advanced or Metastatic Solid Tumours Exposed to Immune Checkpoint Inhibitor Therapies",Advanced Solid Tumor;Metastatic Solid Tumor,Multiple cancer types / basket or umbrella,unspecified solid / hematologic,,,
NCT07226427,A First-in-Human Study of MEN2501 in Participants With Platinum-Resistant Ovarian Cancer,Platinum-resistant Ovarian Cancer,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT07540572,"A Study to Investigate the Safety, Pharmacokinetics, and Preliminary Efficacy of IDE574 Therapy in Adult Participants With Advanced Solid Tumors","ER+, HER 2- Breast Cancer;Non-small Cell Lung Cancer (NSCLC);Castration-resistant Prostate Cancer (CRPC);Microsatellite Stable (MSS) Colorectal Carcinoma",Multiple cancer types / basket or umbrella,multiple named cancers,breast;colorectal;lung;prostate,,
NCT06673329,Brodalumab in the Treatment of Immune-Related Adverse Events,Breast Cancer;Esophageal Cancer;Kidney Cancer;Lung Cancer;Thyroid Cancer;Gynecologic Cancer;Pancreatic Cancer;Stomach Cancer;Brain Tumor;Colon Cancer;Rectal Cancer;Head and Neck Cancer;Oral Cancer;Liver Cancer;Skin Cancer;Prostate Cancer;Testicular Cancer;Solid Tumor,Multiple cancer types / basket or umbrella,multiple named cancers,brain_cns;breast;colorectal;gastric_esophageal;gynecologic;head_neck;kidney;liver_biliary;lung;melanoma_skin;neuroendocrine_endocrine;other_named;pancreatic;prostate,,
NCT07501650,Pembrolizumab Plus Ultrasound-Induced Microbubble Cavitation in Head and Neck Cancer,Head and Neck Cancer;Head and Neck Small Cell Carcinoma;Metastatic Head and Neck Cancer;Recurrent Head and Neck Cancer,Head & neck,,head_neck,,
NCT05515978,Pragmatic Trial of Metformin for Glucose Intolerance or Increased BMI in Prostate Cancer Patients,Prostate Cancer,Prostate,,prostate,,
NCT05432635,Genetically Modified T-cells (CMV-Specific CD19-CAR T-cells) Plus a Vaccine (CMV-MVA Triplex) Following Stem Cell Transplantation for the Treatment of Intermediate or High Grade B-cell Non-Hodgkin Lymphoma,B-Cell Non-Hodgkin Lymphoma;Diffuse Large B-Cell Lymphoma;Mantle Cell Lymphoma;Recurrent B-Cell Non-Hodgkin Lymphoma;Recurrent Diffuse Large B-Cell Lymphoma;Recurrent Mantle Cell Lymphoma;Recurrent Transformed Non-Hodgkin Lymphoma;Transformed Non-Hodgkin Lymphoma,Lymphoma,,lymphoma,,
NCT07140900,"Study Evaluating the Safety, Tolerability, and Efficacy of Xaluritamig in Combination With Androgen Receptor Pathway Inhibitors in Participants With Metastatic Hormone-sensitive Prostate Cancer",Metastatic Hormone-sensitive Prostate Cancer (mHSPC),Prostate,,prostate,,
NCT06569147,Elranatamab in Patients With Relapsed or Refractory AL Amyloidosis,AL Amyloidosis,Myeloma & plasma cell,,myeloma,,
NCT04073706,Sentinel Node Biopsy in Endometrial Cancer,Endometrial Cancer Stage I;Sentinel Lymph Node;Surgery,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT04520139,Effect of NAC on Preventing Chemo-Related Cognitive Impairments in Ovarian Ca Pts Treated W/ PBT,Ovarian Cancer;Cognitive Impairment,"Gynecologic (ovarian, uterine, cervical)",,gynecologic,,
NCT07221149,"A Study to Evaluate the Safety and Efficacy of Pumitamig in Combination With Chemotherapy Versus Nivolumab in Combination With Chemotherapy in Participants With Previously Untreated Advanced or Metastatic Gastric, Gastroesophageal Junction, or Esophageal Adenocarcinoma (ROSETTA Gastric-204)","Untreated Advanced or Metastatic Gastric, Gastroesophageal Junction, or Esophageal Adenocarcinoma",Gastric & esophageal,,gastric_esophageal,,
