nct_id,brief_title,conditions,n_us_sites
NCT06886516,Apixaban in Thrombocytopenia,Deep Vein Thrombosis;Pulmonary Embolism and Thrombosis;Thrombocytopenia;Recurrent Venous Thromboembolism,1
NCT07224776,Sparsentan for the Treatment of VEGF Signaling Pathway Inhibitor-Associated Proteinuria,Proteinuric Renal Disease;Proteinuric Kidney Disease;Proteinuria;Proteinuria in Nephrotic Range,1
NCT06801067,A Study of SER-155 to Treat Diarrhea in People on Immunotherapy,Diarrhea;Enterocolitis,7
NCT07637734,Cantharidin Application in Patients With Common Warts (Verruca Vulgaris) (COVE-3),Common Warts;Common Warts (Verruca Vulgaris);Human Papilloma Virus (HPV);Warts,6
NCT04833894,"Evaluating the Pharmacokinetics, Pharmacodynamics, and Safety of Efgartigimod Administered Intravenously in Children With Generalized Myasthenia Gravis",Generalized Myasthenia Gravis,3
NCT07501702,A Phase 2 Study to Evaluate Povetacicept in Adults With Generalized Myasthenia Gravis,"Myasthenia Gravis, Generalized",15
NCT07673744,A Study to Evaluate the Efficacy and Safety of Maintenance Ublituximab Following Induction With Efgartigimod Administration in Participants With Myasthenia Gravis (MG),Myasthenia Gravis,5
NCT06889168,Evaluating the Long-term Safety and Tolerability of Imatinib in Patients With Lymphangioleiomyomatosis (LAM),Lymphangioleiomyomatosis (LAM);Lymphangioleiomyomatosis,2
NCT06956781,Multiphase Optimization Strategy (MOST) for Treating Pediatric Post-traumatic Stress Disorder (PTSD),PTSD;Trauma;Pediatric ALL,1
NCT07215949,Zilucoplan for Severe gMG Exacerbations,Generalized Myasthenia Gravis (gMG),1
NCT06800963,ResQ133A-NMIBC: Intravesical Recombinant Mycobacterium (rMBCG) in Participants With NMIBC Eligible to Receive Intravesical Tice BCG,NMIBC,5
NCT06147258,The Impact of Expressive Emotional Writing on Facilitating Grief Resolution in Adults With Spinal Cord Injury,Spinal Cord Injuries;Transverse Myelitis,1
NCT07217587,Comparative Efficacy of Nipocalimab and Efgartigimod in Participants With Generalized Myasthenia Gravis,Myasthenia Gravis,13
NCT07182045,Impact of Uterine and Ovarian Vessel Occlusion on Blood Loss in High Burden Minimally Invasive Myomectomy.,Myoma;Surgery,1
NCT04160910,5HTP Regulation Of Asthma In Children,Mild or Moderate Asthma With Allergic Sensitization,1
NCT06049420,Lifestyle Medicine: Establishing Clinical Approaches to Chronic Disease for Rural Patients,"Obesity;Hyperlipidemias;Polycystic Ovary Syndrome;Hypertension;Coronary Heart Disease;Heart Failure;Depression, Anxiety;Type II Diabetes;Metabolic Syndrome",1
NCT04149496,"IVM With Low Cost Priming, Enhanced Oocyte Recovery, and Delayed Transfer",Polycystic Ovary Syndrome,1
NCT07144345,Study of Reformulated Levulan Kerastick Plus PDT for Actinic Keratosis on Face and Scalp,Actinic Keratosis,10
