nct_id,brief_title,conditions,setting,setting_terms,hand_check,agree
NCT04157127,Th-1 Dendritic Cell Immunotherapy Plus Standard Chemotherapy for Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma;Pancreatic Cancer;Pancreatic Adenosquamous Carcinoma,early,adjuvant,,
NCT07225101,Evaluation of the Efficacy of STRATAFIX for Neurosurgical Cranial and Spine Procedures,"Wound Closure;Brain Tumor Adult;Spine;Neurovascular;Hemorrhagic Stroke, Intracerebral;Traumatic Brain Injury",not_stated,,,
NCT06609005,"A Study to Evaluate the Safety, Pharmacokinetics, Pharmacodynamics, and Antitumor Activity of INV-9956 in Adult Patients With Advanced Metastatic Castration Resistant Prostate Cancer",Advanced Metastatic Castration Resistant Prostate Cancer,advanced,advanced;castration resistant;metasta,,
NCT05890352,Study Adding Drugs to Usual Treatment for Large B-Cell Lymphoma That Returned or Did Not Respond to Treatment,Grade 3b Follicular Lymphoma;High Grade B-Cell Lymphoma;High Grade B-Cell Lymphoma With MYC and BCL2 and/or BCL6 Rearrangements;Recurrent Diffuse Large B-Cell Lymphoma;Refractory Diffuse Large B-Cell Lymphoma;Transformed Non-Hodgkin Lymphoma,advanced,recurrent;refractory;relapsed,,
NCT06785415,"Elotuzumab, Daratumumab, Iberdomide, and Dexamethasone for the Treatment of Relapsed Multiple Myeloma",Recurrent Multiple Myeloma,advanced,recurrent;relapsed,,
NCT06892379,A Study of HS-20110 in Participants With Advanced Solid Tumors,Solid Tumors,advanced,advanced,,
NCT05139017,A Study of Zilovertamab Vedotin (MK-2140) in Combination With Standard of Care in Participants With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (rrDLBCL) (MK-2140-003),DLBCL;Diffuse Large B-Cell Lymphoma,advanced,refractory;relapsed,,
NCT06672146,Comparing New Treatments for People With Newly Diagnosed Acute Myeloid Leukemia That Has an IDH2 Gene Change (A MyeloMATCH Treatment Trial),Acute Myeloid Leukemia,newdx,newly diagnosed,,
NCT05546827,Preoperative Radiotherapy and Immunotherapy for Sinonasal and Anorectal Mucosal Melanoma,Sinonasal Melanoma;Anorectal Melanoma,not_stated,,,
NCT04696575,Lamivudine in Combination With Chemoimmunotherapy for the Treatment of Extensive Stage Small Cell Lung Cancer,Extensive Stage Lung Small Cell Carcinoma,advanced,extensive stage,,
NCT06085729,Phase I/II Study of PEGylated Arginine Deiminase (ADI-PEG20) With Carboplatin and Cabazitaxel in Men With Aggressive Variant Prostate Cancers (AVPC),Prostate Cancer,not_stated,,,
NCT07062003,Minibeam Radiation Therapy With Tungsten Slit Collimator for the Treatment of Recurrent or Metastatic Skin or Soft Tissue Tumors,Metastatic Malignant Skin Neoplasm;Metastatic Malignant Soft Tissue Neoplasm;Recurrent Malignant Skin Neoplasm;Recurrent Malignant Soft Tissue Neoplasm;Skin Neoplasm;Soft Tissue Neoplasm,advanced,metasta;recurrent,,
NCT07455032,Neoadjuvant CADI-05 in Combination With Pembrolizumab for Surgically Resectable Locally Advanced Head and Neck Squamous Cell Carcinomas,Squamous Cell Carcinoma of Head and Neck,multiple,advanced;neoadjuvant;resectable,,
NCT07020221,A Phase 1/2 Study of VS-7375 in Patients With KRAS G12D-Mutated Solid Tumors,"Pancreatic Ductal Adenocarcinoma;Non Small Cell Lung Cancer;Colorectal Cancer;Solid Tumor, Adult;G12D Mutated KRAS",advanced,advanced,,
NCT01913106,HSV-tk + Valacyclovir Therapy in Combination With Brachytherapy for Recurrent Prostate Cancer,Prostatic Neoplasms,advanced,metasta;recurrent,,
NCT05384626,A Study of Neladalkib (NVL-655) in Patients With Advanced NSCLC and Other Solid Tumors Harboring ALK Rearrangement or Activating ALK Mutation (ALKOVE-1),Locally Advanced Solid Tumor;Metastatic Solid Tumor,advanced,advanced;metasta,,
NCT06587490,Total RadIoTherapy of Oligometastatic caNcerS,Oligometastatic Malignant Solid Neoplasm,advanced,oligometasta,,
NCT05456256,A Study of LP-300 With Carboplatin and Pemetrexed in Never Smokers With Advanced Lung Adenocarcinoma,"Adenocarcinoma of Lung;Carcinoma, Non-Small-Cell Lung",advanced,advanced;relapsed,,
NCT07024706,Phase 2 Study of Disease Risk Mutation-Guided Finite Acalabrutinib+Venetoclax for Relapsed CLL Post-1L Finite cBTKi+BCL2i ± Obinutuzumab,Chronic Lymphocytic Leukemia (CLL);Small Lymphocytic Lymphoma (SLL),advanced,1l;first-line;relapsed,,
NCT05071937,ZEN003694 Combined With Talazoparib in Patients With Recurrent Ovarian Cancer,Ovarian Cancer;Peritoneal Cancer;Fallopian Tube Cancer,advanced,recurrent,,
NCT04879121,"Larotrectinib for the Treatment of NTRK Amplification Positive, Locally Advanced or Metastatic Solid Tumors",Locally Advanced Malignant Solid Neoplasm;Metastatic Malignant Solid Neoplasm,advanced,advanced;metasta,,
NCT04747236,Randomized Phase IIB Trial of Oral Azacytidine Plus Romidepsin Versus Investigator's Choice in PTCL,PTCL,advanced,refractory,,
NCT02945579,Multicenter Trial for Eliminating Breast Cancer Surgery or Radiotherapy in Exceptional Responders to Neoadjuvant Systemic Therapy,Estrogen Receptor Negative;HER2 Positive Breast Carcinoma;HER2/Neu Negative;Invasive Breast Carcinoma;Progesterone Receptor Negative;Stage I Breast Cancer AJCC v7;Stage IA Breast Cancer AJCC v7;Stage IB Breast Cancer AJCC v7;Stage II Breast Cancer AJCC v6 and v7;Stage IIA Breast Cancer AJCC v6 and v7;Stage IIB Breast Cancer AJCC v6 and v7;Triple-Negative Breast Carcinoma,early,neoadjuvant;stage i;stage ia;stage ib;stage ii;stage iia,,
NCT06085313,Cancer Pain Management Using a Web-based Intervention,Cancer of Breast;Depressive Symptoms;Cancer Pain,not_stated,,,
NCT07776613,A Study of Romosozumab in People With Breast Cancer and Osteoporosis,Breast Cancer;Metastatic Breast Cancer (MBC),advanced,mbc;metasta,,
NCT06517888,Anti-VEGF Gene Therapy Trial for Vestibular Schwannoma,Vestibular Schwannoma,not_stated,,,
NCT05607095,"A Study of LN-144 or LN-145 in People With Advanced Uveal Melanoma, Undifferentiated Pleomorphic Sarcoma, Dedifferentiated Liposarcoma, or Angiosarcoma",Uveal Melanoma;Melanoma;Metastatic Uveal Melanoma;Metastatic Melanoma,advanced,advanced;metasta,,
NCT06352359,"Safety, Pharmacokinetics (PK), and Efficacy of ONC 841 in Advanced Solid Tumors",Advanced Solid Tumor,advanced,advanced,,
NCT04256018,Mogamulizumab + Low-Dose Total Skin Electron Beam Tx in Mycosis Fungoides & Sézary Syndrome,Sezary Syndrome;Mycosis Fungoides,not_stated,,,
NCT05967416,Study of SIRPant-M in Participants With Relapsed or Refractory Non-Hodgkin's Lymphoma,Refractory Non-Hodgkin Lymphoma;Relapsed Non-Hodgkin Lymphoma,advanced,refractory;relapsed,,
NCT05890677,The LYMPH Trial - Microsurgical Versus Conservative Treatment of Chronic Breast Cancer Associated Lymphedema,"Lymphedema, Breast Cancer",not_stated,,,
NCT07424833,A Study of APG-3288 in Relapsed/Refractory Blood Cancers,Relapsed/Refractory Hematological Malignancies;Relapsed/Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Leukemia (CLL/SLL;Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL; Including Richter Transformation);Relapsed/Refractory Mantle Cell Lymphoma (MCL);Relapsed/Refractory Waldenström Macroglobulinemia (WM);Relapsed/Refractory Marginal Zone Lymphoma (MZL);Relapsed/Refractory Follicular Lymphoma (FL),advanced,refractory;relapsed,,
NCT07064122,"A Study of AZD2962, an IRAK4 Inhibitor (IRAK4 [a Body Protein] Blocker), in Participants With Haematologic Neoplasms (Blood Cancers)",Haematologic Neoplasms,not_stated,,,
NCT04919629,"APL-2 and Pembrolizumab Versus APL-2, Pembrolizumab and Bevacizumab Versus Bevacizumab Alone for the Treatment of Recurrent Ovarian, Fallopian Tube, or Primary Peritoneal Cancer and Malignant Effusion",Fallopian Tube Carcinosarcoma;Fallopian Tube Clear Cell Adenocarcinoma;Fallopian Tube Endometrioid Adenocarcinoma;Fallopian Tube Serous Adenocarcinoma;Ovarian Carcinosarcoma;Ovarian Clear Cell Adenocarcinoma;Ovarian Endometrioid Adenocarcinoma;Ovarian Serous Adenocarcinoma;Primary Peritoneal Carcinosarcoma;Primary Peritoneal Clear Cell Adenocarcinoma;Primary Peritoneal Endometrioid Adenocarcinoma;Primary Peritoneal Serous Adenocarcinoma;Recurrent Fallopian Tube Carcinoma;Recurrent Ovarian Carcinoma;Recurrent Primary Peritoneal Carcinoma,advanced,recurrent,,
NCT06462794,First In Human Study of CX-801 in Advanced Solid Tumors,"Solid Tumor, Adult",advanced,advanced,,
NCT07607678,A Study in People With Advanced Cancer to Test How Well Different Doses of BI 3819026 Are Tolerated When Taken Alone and Together With Ezabenlimab,Advanced Solid Cancer;Metastatic Solid Cancer,advanced,advanced;metasta;unresectable,,
