rank_zero,rank_lt20,name,name_is_placeholder,city,state,zip,county_name,county_fips,pop55_newly_covered_zero,pop55_newly_covered_lt20,tracts_within_60rdmi,county_trials,n_trials_hosted_2016plus,geocode,access_mi,lat,lon,source
584,476,Texas Oncology-Sherman,0,Sherman,TX,75090,Grayson,48181,0,37241,435,12,2,zip,1.4,33.604131,-96.550405,registry_stand_in
585,479,928-I,0,Smyrna,TN,37167,Rutherford,47149,0,35358,460,7,1,zip,1.1,35.962828,-86.529684,registry_stand_in
586,480,"SCRI TO Nashville- Smyrna Tennessee Oncology, PLLC",0,Smyrna,TN,37167,Rutherford,47149,0,35358,460,7,1,zip,1.1,35.962828,-86.529684,registry_stand_in
587,481,"Tennessee Oncology, PLLC,300 Stonecrest Blvd",0,Smyrna,TN,37167,Rutherford,47149,0,35358,460,7,2,zip,1.1,35.962828,-86.529684,registry_stand_in
588,482,Tennessee Oncology - SMYRNA - SCRI - PPDS,0,Smyrna,TN,37167,Rutherford,47149,0,35358,460,7,1,zip,1.1,35.962828,-86.529684,registry_stand_in
589,485,Health Quest Medical Practice,0,Poughkeepsie,NY,12601,Dutchess,36027,0,35165,676,7,1,zip,0.4,41.707792,-73.910601,registry_stand_in
590,486,"Health Quest Medical Practice, Division of Gynecology/Oncology Gyno Dyson Cancer Center Vassar Brothers Medical Center",0,Poughkeepsie,NY,12601,Dutchess,36027,0,35165,676,7,1,zip,0.4,41.707792,-73.910601,registry_stand_in
591,487,Hudson Valley Cardiovascular Physicians PC,0,Poughkeepsie,NY,12601,Dutchess,36027,0,35165,676,7,1,zip,0.4,41.707792,-73.910601,registry_stand_in
592,488,Hudson Valley Hematology Oncology Associates,0,Poughkeepsie,NY,12601,Dutchess,36027,0,35165,676,7,1,zip,0.4,41.707792,-73.910601,registry_stand_in
593,489,"Hudson Valley Urology, PC",0,Poughkeepsie,NY,12601,Dutchess,36027,0,35165,676,7,1,zip,0.4,41.707792,-73.910601,registry_stand_in
594,490,Optum Medical Care - Poughkeepsie,0,Poughkeepsie,NY,12601,Dutchess,36027,0,35165,676,7,1,zip,0.4,41.707792,-73.910601,registry_stand_in
595,491,Poughkeepsie,1,Poughkeepsie,NY,12601,Dutchess,36027,0,35165,676,7,1,zip,0.4,41.707792,-73.910601,registry_stand_in
596,492,Site US10028,1,Poughkeepsie,NY,12601,Dutchess,36027,0,35165,676,7,1,zip,0.4,41.707792,-73.910601,registry_stand_in
597,493,Premier Medical Group of the Hudson Valley PC,0,Poughkeepsie,NY,12301,Schenectady,36093,0,35165,716,3,1,city,0.3,41.694595,-73.919869,registry_stand_in
598,494,Optum Medical Care - Fishkill Westage Campus,0,Fishkill,NY,12524,Dutchess,36027,0,34882,1765,7,1,zip,0.4,41.533367,-73.884911,registry_stand_in
599,495,Community Howard Oncology Center,0,Kokomo,IN,46902,Howard,18067,0,34114,556,0,1,zip,1.3,40.437275,-86.094553,registry_stand_in
600,496,Oncology and Hematology Associates of Southwest Virginia,0,Wytheville,VA,24382,Wythe,51197,0,33879,138,12,1,zip,0.6,36.95331,-81.110754,registry_stand_in
601,497,"Oncology and Hematology Associates of Southwest Virginia, Inc., DBA Blue Ridge Cancer Care",0,Wytheville,VA,24382,Wythe,51197,0,33879,138,12,3,zip,0.6,36.95331,-81.110754,registry_stand_in
602,498,"Oncology & Hematology Associates of Southwest Virginia, Inc. D.B.A Blue Ridge Cancer Care",0,Wytheville,VA,24382,Wythe,51197,0,33879,138,12,1,zip,0.6,36.95331,-81.110754,registry_stand_in
603,501,150,0,Lafayette,IN,47904,Tippecanoe,18157,0,33296,257,4,1,zip,0.5,40.438641,-86.875329,registry_stand_in
604,502,Arnett Cancer Center,0,Lafayette,IN,47904,Tippecanoe,18157,0,33296,257,4,1,zip,0.5,40.438641,-86.875329,registry_stand_in
605,503,"Indiana University Health Arnett, Inc.",0,Lafayette,IN,47904,Tippecanoe,18157,0,33296,257,4,1,zip,0.5,40.438641,-86.875329,registry_stand_in
606,504,IU Health Arnett Cancer Center,0,Lafayette,IN,47904,Tippecanoe,18157,0,33296,257,4,2,zip,0.5,40.438641,-86.875329,registry_stand_in
607,505,IU Health Arnett Hospital,0,Lafayette,IN,47904,Tippecanoe,18157,0,33296,257,4,1,zip,0.5,40.438641,-86.875329,registry_stand_in
608,511,Premier Medical Group of the Hudson Valley,0,Poughkeepsie,NY,12603,Dutchess,36027,0,31835,648,7,5,zip,0.5,41.675868,-73.864484,registry_stand_in
609,512,Premier Medical Group of the Hudson Valley PC,0,Poughkeepsie,NY,12603,Dutchess,36027,0,31835,648,7,4,zip,0.5,41.675868,-73.864484,registry_stand_in
610,513,CARTI Cancer Center Conway,0,Conway,AR,72034,Faulkner,05045,0,31805,215,1,1,zip,1.0,35.053787,-92.47871,registry_stand_in
611,514,CARTI Conway,0,Conway,AR,72034,Faulkner,05045,0,31805,215,1,1,zip,1.0,35.053787,-92.47871,registry_stand_in
612,515,GSK Investigational Site,1,Asheville,NC,28816,Buncombe,37021,0,31801,317,12,1,city,0.1,35.570972,-82.552725,registry_stand_in
613,517,Western Maryland Regional Medical Center,0,Cumberland,MD,21502,Allegany,24001,0,31633,108,13,7,zip,0.4,39.641477,-78.756088,registry_stand_in
614,518,569 - B,0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,1,zip,0.7,40.421886,-86.763599,registry_stand_in
615,519,569 - C,0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,1,zip,0.7,40.421886,-86.763599,registry_stand_in
616,520,Franciscan Health Lafayette East,0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,2,zip,0.7,40.421886,-86.763599,registry_stand_in
617,521,Horizon Oncology Associates,0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,1,zip,0.7,40.421886,-86.763599,registry_stand_in
618,522,Horizon Oncology Center,0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,2,zip,0.7,40.421886,-86.763599,registry_stand_in
619,523,Horizon Oncology Research,0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,2,zip,0.7,40.421886,-86.763599,registry_stand_in
620,524,"Horizon Oncology Research, 1345 Unity Place, Suite 365",0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,1,zip,0.7,40.421886,-86.763599,registry_stand_in
621,525,"Horizon Oncology Research, INC",0,Lafayette,IN,47905,Tippecanoe,18157,0,31301,249,4,2,zip,0.7,40.421886,-86.763599,registry_stand_in
